==== START logs for container metrics-server of pod kube-system/metrics-server-86cbb8457f-n7nnt ====
I0315 14:14:57.924973       1 serving.go:312] Generated self-signed cert (apiserver.local.config/certificates/apiserver.crt, apiserver.local.config/certificates/apiserver.key)
E0316 11:25:26.869942       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 11:26:26.861540       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 11:27:26.879025       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 11:28:26.865210       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 11:29:26.857718       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 11:30:26.881385       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 11:31:26.876356       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 11:32:26.880593       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 11:33:26.879189       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 11:34:26.869608       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 11:35:26.871393       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 11:36:26.877886       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 11:37:26.871257       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 11:38:26.878018       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 11:39:26.864242       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 11:40:26.870260       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 11:41:26.868841       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 11:42:26.868556       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 11:43:26.864888       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 11:44:26.860061       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 11:45:26.855472       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 11:46:26.860586       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 11:47:26.854466       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 11:48:26.927920       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 11:49:26.881748       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 11:50:26.867699       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
E0316 11:51:26.878960       1 reststorage.go:160] unable to fetch pod metrics for pod ingress-network/nginx-ingress-7b89c88756-nsccc: no metrics known for pod
